filename,width,height,class,xmin,ymin,xmax,ymax
daisy_1.jpg,500,333,daisy,139,19,336,230
daisy_10.jpg,500,375,daisy,99,64,397,314
daisy_100.jpg,500,357,daisy,199,184,289,314
daisy_101.jpg,500,343,daisy,82,94,238,262
daisy_102.jpg,500,332,daisy,1,1,450,332
daisy_103.jpg,500,327,daisy,244,76,370,179
daisy_104.jpg,500,327,daisy,189,79,289,173
daisy_105.jpg,375,500,daisy,46,15,304,366
daisy_106.jpg,500,357,daisy,203,118,292,217
daisy_107.jpg,375,500,daisy,144,1,349,292
daisy_108.jpg,380,500,daisy,157,30,357,345
daisy_109.jpg,375,500,daisy,45,70,249,259
daisy_11.jpg,375,500,daisy,77,43,276,269
daisy_110.jpg,333,500,daisy,58,38,310,317
daisy_111.jpg,500,332,daisy,193,122,303,255
daisy_112.jpg,374,500,daisy,129,146,314,321
daisy_113.jpg,500,332,daisy,204,81,380,296
daisy_114.jpg,500,332,daisy,226,102,389,279
daisy_115.jpg,500,332,daisy,176,28,346,252
daisy_116.jpg,500,375,daisy,239,94,353,236
daisy_117.jpg,500,333,daisy,237,31,479,294
daisy_118.jpg,500,332,daisy,106,11,406,331
daisy_119.jpg,500,375,daisy,33,11,250,232
daisy_12.jpg,375,500,daisy,131,80,314,338
daisy_120.jpg,500,332,daisy,60,24,254,261
daisy_121.jpg,500,332,daisy,107,41,300,278
daisy_122.jpg,333,500,daisy,88,150,228,348
daisy_123.jpg,500,333,daisy,166,37,323,256
daisy_124.jpg,500,333,daisy,195,5,389,197
daisy_125.jpg,500,333,daisy,200,25,378,258
daisy_126.jpg,500,333,daisy,181,42,389,220
daisy_127.jpg,500,375,daisy,90,3,397,374
daisy_128.jpg,333,500,daisy,8,1,330,376
daisy_129.jpg,333,500,daisy,12,6,332,469
daisy_13.jpg,375,500,daisy,139,1,374,342
daisy_130.jpg,500,375,daisy,37,1,397,375
daisy_131.jpg,500,375,daisy,138,65,285,368
daisy_132.jpg,375,500,daisy,9,1,329,449
daisy_133.jpg,500,393,daisy,1,6,494,393
daisy_134.jpg,500,375,daisy,97,12,500,244
daisy_135.jpg,500,299,daisy,300,100,477,271
daisy_136.jpg,500,375,daisy,37,71,414,283
daisy_137.jpg,500,375,daisy,10,247,155,334
daisy_138.jpg,400,500,daisy,41,295,124,425
daisy_139.jpg,500,335,daisy,90,66,233,219
daisy_14.jpg,500,333,daisy,74,12,477,263
daisy_140.jpg,500,333,daisy,312,129,394,214
daisy_141.jpg,500,333,daisy,78,19,382,288
daisy_142.jpg,500,333,daisy,211,20,406,236
daisy_143.jpg,500,333,daisy,180,84,305,194
daisy_144.jpg,500,333,daisy,93,130,210,242
daisy_145.jpg,500,333,daisy,96,48,229,170
daisy_146.jpg,500,333,daisy,112,33,248,244
daisy_147.jpg,500,333,daisy,168,105,332,247
daisy_148.jpg,500,380,daisy,197,133,376,380
daisy_149.jpg,288,360,daisy,57,53,203,194
daisy_15.jpg,500,332,daisy,45,3,205,160
daisy_150.jpg,500,333,daisy,89,1,437,307
