filename,width,height,class,xmin,ymin,xmax,ymax
daisy_96.jpg,500,333,daisy,36,1,283,276
daisy_195.jpg,333,500,daisy,1,1,275,362
daisy_137.jpg,500,375,daisy,10,247,155,334
daisy_78.jpg,416,500,daisy,44,12,296,263
daisy_7.jpg,500,332,daisy,302,31,460,193
daisy_60.jpg,500,332,daisy,229,100,398,226
daisy_87.jpg,348,500,daisy,79,136,250,321
daisy_207.jpg,400,711,daisy,67,66,400,469
daisy_11.jpg,375,500,daisy,77,43,276,269
daisy_109.jpg,375,500,daisy,45,70,249,259
daisy_152.jpg,333,500,daisy,72,206,223,345
daisy_103.jpg,500,327,daisy,244,76,370,179
daisy_72.jpg,333,500,daisy,29,159,230,433
daisy_69.jpg,332,500,daisy,71,153,220,358
daisy_199.jpg,500,332,daisy,137,3,397,245
daisy_17.jpg,500,333,daisy,223,58,470,295
daisy_164.jpg,500,333,daisy,388,163,486,287
daisy_194.jpg,333,500,daisy,64,27,324,338
daisy_49.jpg,500,375,daisy,305,51,441,186
daisy_191.jpg,500,375,daisy,188,47,500,332
daisy_123.jpg,500,333,daisy,166,37,323,256
daisy_33.jpg,415,500,daisy,154,81,374,380
daisy_63.jpg,500,333,daisy,228,75,332,222
daisy_1.jpg,500,333,daisy,139,19,336,230
daisy_3.jpg,500,481,daisy,221,19,433,306
daisy_85.jpg,500,375,daisy,227,31,384,241
daisy_134.jpg,500,375,daisy,97,12,500,244
daisy_186.jpg,500,333,daisy,163,139,264,245
daisy_112.jpg,374,500,daisy,129,146,314,321
daisy_157.jpg,333,500,daisy,39,144,332,409
daisy_32.jpg,500,350,daisy,149,115,242,224
daisy_208.jpg,400,533,daisy,23,201,213,327
daisy_188.jpg,500,375,daisy,194,1,474,228
daisy_155.jpg,500,333,daisy,219,18,436,244
daisy_146.jpg,500,333,daisy,112,33,248,244
daisy_40.jpg,500,333,daisy,76,32,429,282
daisy_224.jpg,400,405,daisy,159,275,273,351
daisy_113.jpg,500,332,daisy,204,81,380,296
